Occupation,onetsoc_code,occ_type,em_2018,em_2028,p_2018,p_2028,change,percent_change,openings
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Line item,367.90,414.20,0.20,0.20,46.30,12.60,42.80
Home appliance repairers,49-9031,Line item,41.00,40.20,0.00,0.00,-0.80,-1.90,4.30
"Industrial machinery installation, repair, and maintenance workers",49-9040,Summary,508.00,535.60,0.30,0.30,27.60,5.40,50.20
Industrial machinery mechanics,49-9041,Line item,381.50,400.80,0.20,0.20,19.40,5.10,37.80
"Maintenance workers, machinery",49-9043,Line item,81.10,85.40,0.10,0.10,4.30,5.30,8.00
Millwrights,49-9044,Line item,44.30,48.20,0.00,0.00,3.90,8.90,4.40
"Refractory materials repairers, except brickmasons",49-9045,Line item,1.20,1.10,0.00,0.00,0.00,-1.90,0.10
Line installers and repairers,49-9050,Summary,242.20,252.90,0.20,0.10,10.70,4.40,25.20
Electrical power-line installers and repairers,49-9051,Line item,119.40,128.90,0.10,0.10,9.50,8.00,11.40
Telecommunications line installers and repairers,49-9052,Line item,122.70,123.90,0.10,0.10,1.20,1.00,13.90
Precision instrument and equipment repairers,49-9060,Summary,82.60,82.90,0.10,0.00,0.30,0.40,8.70
Camera and photographic equipment repairers,49-9061,Line item,4.30,4.30,0.00,0.00,0.00,-0.20,0.40
Medical equipment repairers,49-9062,Line item,53.80,55.80,0.00,0.00,2.00,3.80,6.00
Musical instrument repairers and tuners,49-9063,Line item,8.90,8.10,0.00,0.00,-0.80,-9.30,0.80
Watch repairers,49-9064,Line item,3.00,2.10,0.00,0.00,-0.90,-29.60,0.20
"Precision instrument and equipment repairers, all other",49-9069,Line item,12.50,12.60,0.00,0.00,0.00,0.20,1.30
"Maintenance and repair workers, general",49-9071,Line item,1488.00,1573.40,0.90,0.90,85.40,5.70,156.90
Wind turbine service technicians,49-9081,Line item,6.60,10.30,0.00,0.00,3.80,56.90,1.30
"Miscellaneous installation, maintenance, and repair workers",49-9090,Summary,386.40,405.10,0.20,0.20,18.70,4.80,46.60
"Coin, vending, and amusement machine servicers and repairers",49-9091,Line item,36.60,36.70,0.00,0.00,0.10,0.40,4.30
Commercial divers,49-9092,Line item,4.00,4.30,0.00,0.00,0.30,7.20,0.50
"Fabric menders, except garment",49-9093,Line item,0.50,0.50,0.00,0.00,0.00,-1.70,0.00
Locksmiths and safe repairers,49-9094,Line item,22.10,20.10,0.00,0.00,-2.00,-9.00,2.10
Manufactured building and mobile home installers,49-9095,Line item,2.90,2.60,0.00,0.00,-0.30,-11.40,0.20
Riggers,49-9096,Line item,22.10,23.30,0.00,0.00,1.20,5.50,2.30
Signal and track switch repairers,49-9097,Line item,8.40,8.40,0.00,0.00,0.10,0.60,0.90
"Helpers--installation, maintenance, and repair workers",49-9098,Line item,107.20,115.70,0.10,0.10,8.50,7.90,15.10
"Installation, maintenance, and repair workers, all other",49-9099,Line item,182.70,193.50,0.10,0.10,10.80,5.90,21.30
Production occupations,51-0000,Summary,9452.40,9022.90,5.90,5.30,-429.50,-4.50,1028.10
Supervisors of production workers,51-1000,Summary,639.70,638.50,0.40,0.40,-1.30,-0.20,65.20
First-line supervisors of production and operating workers,51-1011,Line item,639.70,638.50,0.40,0.40,-1.30,-0.20,65.20
Assemblers and fabricators,51-2000,Summary,1868.10,1664.80,1.20,1.00,-203.30,-10.90,182.60
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,Line item,45.10,35.20,0.00,0.00,-9.90,-22.00,2.50
"Electrical, electronics, and electromechanical assemblers",51-2020,Summary,291.90,280.80,0.20,0.20,-11.10,-3.80,31.40
"Coil winders, tapers, and finishers",51-2021,Line item,12.30,9.70,0.00,0.00,-2.70,-21.60,1.00
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,Line item,279.60,271.20,0.20,0.20,-8.40,-3.00,30.50
Engine and other machine assemblers,51-2031,Line item,48.70,40.60,0.00,0.00,-8.10,-16.70,4.50
Structural metal fabricators and fitters,51-2041,Line item,80.40,68.60,0.00,0.00,-11.70,-14.60,6.60
Miscellaneous assemblers and fabricators,51-2090,Summary,1402.00,1239.60,0.90,0.70,-162.40,-11.60,137.60
Fiberglass laminators and fabricators,51-2091,Line item,21.80,21.90,0.00,0.00,0.10,0.50,2.60
Timing device assemblers and adjusters,51-2093,Line item,0.80,0.60,0.00,0.00,-0.20,-19.30,0.10
"Assemblers and fabricators, all other, including team assemblers",51-2098,Line item,1379.40,1217.00,0.90,0.70,-162.40,-11.80,134.90
Food processing workers,51-3000,Summary,838.40,863.10,0.50,0.50,24.70,2.90,114.90
Bakers,51-3011,Line item,191.90,203.00,0.10,0.10,11.10,5.80,28.10
"Butchers and other meat, poultry, and fish processing workers",51-3020,Summary,377.70,386.10,0.20,0.20,8.40,2.20,48.10
Butchers and meat cutters,51-3021,Line item,135.50,139.50,0.10,0.10,4.00,2.90,17.40
"Meat, poultry, and fish cutters and trimmers",51-3022,Line item,164.60,167.20,0.10,0.10,2.60,1.60,20.80
Slaughterers and meat packers,51-3023,Line item,77.60,79.40,0.00,0.00,1.80,2.30,9.90
Miscellaneous food processing workers,51-3090,Summary,268.70,274.00,0.20,0.20,5.30,2.00,38.70
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,Line item,21.00,21.10,0.00,0.00,0.10,0.60,2.90
Food batchmakers,51-3092,Line item,163.80,167.00,0.10,0.10,3.20,2.00,24.80
Food cooking machine operators and tenders,51-3093,Line item,35.10,36.10,0.00,0.00,1.00,2.80,5.70
"Food processing workers, all other",51-3099,Line item,48.90,49.80,0.00,0.00,0.90,1.90,5.30
Metal workers and plastic workers,51-4000,Summary,2011.20,1944.00,1.20,1.10,-67.20,-3.30,205.30
Computer control programmers and operators,51-4010,Summary,175.90,167.90,0.10,0.10,-7.90,-4.50,16.90
"Computer-controlled machine tool operators, metal and plastic",51-4011,Line item,151.60,138.80,0.10,0.10,-12.80,-8.40,13.60
"Computer numerically controlled machine tool programmers, metal and plastic",51-4012,Line item,24.30,29.20,0.00,0.00,4.90,20.00,3.20
"Forming machine setters, operators, and tenders, metal and plastic",51-4020,Summary,122.20,107.70,0.10,0.10,-14.50,-11.90,11.60
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,Line item,76.50,68.90,0.00,0.00,-7.60,-9.90,8.30
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,Line item,18.60,15.00,0.00,0.00,-3.60,-19.50,1.20
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Line item,27.10,23.80,0.00,0.00,-3.30,-12.10,2.10
"Machine tool cutting setters, operators, and tenders, metal and plastic",51-4030,Summary,325.60,292.40,0.20,0.20,-33.20,-10.20,31.20
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,Line item,188.80,172.80,0.10,0.10,-16.00,-8.50,18.60
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,Line item,11.60,9.20,0.00,0.00,-2.40,-20.50,0.90
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,Line item,75.40,68.20,0.00,0.00,-7.20,-9.50,7.40
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,Line item,29.90,26.40,0.00,0.00,-3.50,-11.70,2.80
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,Line item,19.80,15.70,0.00,0.00,-4.10,-20.70,1.40
Machinists,51-4041,Line item,395.20,405.10,0.20,0.20,9.90,2.50,41.60
"Metal furnace operators, tenders, pourers, and casters",51-4050,Summary,26.10,23.60,0.00,0.00,-2.50,-9.60,2.70
Metal-refining furnace operators and tenders,51-4051,Line item,18.10,16.90,0.00,0.00,-1.10,-6.40,2.00
"Pourers and casters, metal",51-4052,Line item,8.00,6.70,0.00,0.00,-1.40,-16.90,0.70
"Model makers and patternmakers, metal and plastic",51-4060,Summary,8.20,7.40,0.00,0.00,-0.80,-10.20,0.70
"Model makers, metal and plastic",51-4061,Line item,5.30,4.80,0.00,0.00,-0.50,-8.60,0.50
"Patternmakers, metal and plastic",51-4062,Line item,2.90,2.60,0.00,0.00,-0.40,-13.20,0.20
"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,Summary,181.80,163.80,0.10,0.10,-18.10,-9.90,17.00
Foundry mold and coremakers,51-4071,Line item,15.90,13.20,0.00,0.00,-2.60,-16.40,1.30
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,Line item,166.00,150.50,0.10,0.10,-15.50,-9.30,15.70
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,Line item,135.90,138.70,0.10,0.10,2.80,2.10,14.70
Tool and die makers,51-4111,Line item,74.30,69.70,0.00,0.00,-4.50,-6.10,6.70
"Welding, soldering, and brazing workers",51-4120,Summary,462.40,474.00,0.30,0.30,11.60,2.50,52.50
"Welders, cutters, solderers, and brazers",51-4121,Line item,424.70,439.10,0.30,0.30,14.50,3.40,48.80
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Line item,37.70,34.80,0.00,0.00,-2.90,-7.70,3.70
Miscellaneous metal workers and plastic workers,51-4190,Summary,103.70,93.70,0.10,0.10,-10.00,-9.60,9.70
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,Line item,20.00,17.70,0.00,0.00,-2.30,-11.50,1.70
"Layout workers, metal and plastic",51-4192,Line item,8.40,7.80,0.00,0.00,-0.70,-7.80,0.80
"Plating and coating machine setters, operators, and tenders, metal and plastic",51-4193,Line item,40.60,36.10,0.00,0.00,-4.40,-10.90,3.60
"Tool grinders, filers, and sharpeners",51-4194,Line item,8.80,8.50,0.00,0.00,-0.30,-3.00,1.20
"Metal workers and plastic workers, all other",51-4199,Line item,25.90,23.50,0.00,0.00,-2.40,-9.10,2.30
Printing workers,51-5100,Summary,252.20,218.10,0.20,0.10,-34.10,-13.50,23.70
Prepress technicians and workers,51-5111,Line item,29.90,23.70,0.00,0.00,-6.20,-20.80,2.70
Printing press operators,51-5112,Line item,175.70,154.90,0.10,0.10,-20.80,-11.80,15.80
Print binding and finishing workers,51-5113,Line item,46.50,39.40,0.00,0.00,-7.10,-15.20,5.30
"Textile, apparel, and furnishings workers",51-6000,Summary,625.00,577.50,0.40,0.30,-47.60,-7.60,68.60
Laundry and dry-cleaning workers,51-6011,Line item,218.60,217.40,0.10,0.10,-1.10,-0.50,29.00
"Pressers, textile, garment, and related materials",51-6021,Line item,39.90,31.40,0.00,0.00,-8.50,-21.20,3.30
Sewing machine operators,51-6031,Line item,151.60,133.50,0.10,0.10,-18.10,-11.90,14.20
Shoe and leather workers,51-6040,Summary,16.20,15.40,0.00,0.00,-0.80,-5.00,1.80
Shoe and leather workers and repairers,51-6041,Line item,12.20,11.80,0.00,0.00,-0.40,-3.40,1.40
Shoe machine operators and tenders,51-6042,Line item,3.90,3.50,0.00,0.00,-0.40,-10.10,0.50
"Tailors, dressmakers, and sewers",51-6050,Summary,42.50,39.60,0.00,0.00,-2.90,-6.80,5.20
"Sewers, hand",51-6051,Line item,8.60,7.90,0.00,0.00,-0.70,-8.50,1.00
"Tailors, dressmakers, and custom sewers",51-6052,Line item,33.90,31.70,0.00,0.00,-2.20,-6.40,4.20
"Textile machine setters, operators, and tenders",51-6060,Summary,77.90,65.00,0.00,0.00,-12.90,-16.50,6.30
Textile bleaching and dyeing machine operators and tenders,51-6061,Line item,9.70,7.90,0.00,0.00,-1.90,-19.40,1.00
"Textile cutting machine setters, operators, and tenders",51-6062,Line item,13.90,12.30,0.00,0.00,-1.70,-11.90,1.00
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,Line item,22.10,17.90,0.00,0.00,-4.20,-18.90,1.80
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,Line item,32.10,27.00,0.00,0.00,-5.20,-16.10,2.40
"Miscellaneous textile, apparel, and furnishings workers",51-6090,Summary,78.40,75.10,0.00,0.00,-3.30,-4.20,8.90
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,Line item,18.80,17.30,0.00,0.00,-1.50,-7.90,2.30
Fabric and apparel patternmakers,51-6092,Line item,5.30,4.70,0.00,0.00,-0.70,-12.60,0.60
Upholsterers,51-6093,Line item,38.30,38.30,0.00,0.00,0.10,0.20,4.00
"Textile, apparel, and furnishings workers, all other",51-6099,Line item,15.90,14.70,0.00,0.00,-1.20,-7.30,2.00
Woodworkers,51-7000,Summary,290.10,288.80,0.20,0.20,-1.30,-0.50,34.00
Cabinetmakers and bench carpenters,51-7011,Line item,115.90,115.50,0.10,0.10,-0.40,-0.30,12.00
Furniture finishers,51-7021,Line item,21.20,21.10,0.00,0.00,-0.10,-0.50,2.40
"Model makers and patternmakers, wood",51-7030,Summary,3.20,3.30,0.00,0.00,0.10,2.70,0.40
"Model makers, wood",51-7031,Line item,1.90,1.90,0.00,0.00,0.10,2.80,0.20
"Patternmakers, wood",51-7032,Line item,1.40,1.40,0.00,0.00,0.00,2.50,0.20
"Woodworking machine setters, operators, and tenders",51-7040,Summary,135.00,133.60,0.10,0.10,-1.40,-1.10,17.30
"Sawing machine setters, operators, and tenders, wood",51-7041,Line item,54.60,53.80,0.00,0.00,-0.80,-1.40,6.20
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,Line item,80.50,79.80,0.00,0.00,-0.60,-0.80,11.10
"Woodworkers, all other",51-7099,Line item,14.70,15.20,0.00,0.00,0.50,3.10,1.90
Plant and system operators,51-8000,Summary,309.40,296.90,0.20,0.20,-12.50,-4.10,28.80
"Power plant operators, distributors, and dispatchers",51-8010,Summary,53.00,49.90,0.00,0.00,-3.10,-5.90,4.50
Nuclear power reactor operators,51-8011,Line item,6.40,5.40,0.00,0.00,-1.00,-15.50,0.50
Power distributors and dispatchers,51-8012,Line item,11.70,11.30,0.00,0.00,-0.50,-3.90,1.00
Power plant operators,51-8013,Line item,34.90,33.20,0.00,0.00,-1.70,-4.80,3.00
Stationary engineers and boiler operators,51-8021,Line item,33.70,34.60,0.00,0.00,0.90,2.70,3.70
Water and wastewater treatment plant and system operators,51-8031,Line item,127.10,120.90,0.10,0.10,-6.10,-4.80,10.60
Miscellaneous plant and system operators,51-8090,Summary,95.60,91.40,0.10,0.10,-4.20,-4.40,10.00
Chemical plant and system operators,51-8091,Line item,28.60,26.00,0.00,0.00,-2.60,-9.10,2.80
Gas plant operators,51-8092,Line item,14.70,13.70,0.00,0.00,-1.00,-6.80,1.50
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,Line item,39.70,38.90,0.00,0.00,-0.80,-1.90,4.30
"Plant and system operators, all other",51-8099,Line item,12.60,12.70,0.00,0.00,0.10,1.10,1.40
Other production occupations,51-9000,Summary,2618.30,2531.40,1.60,1.50,-86.90,-3.30,305.10
"Chemical processing machine setters, operators, and tenders",51-9010,Summary,135.40,132.50,0.10,0.10,-2.80,-2.10,15.10
Chemical equipment operators and tenders,51-9011,Line item,84.40,80.30,0.10,0.00,-4.20,-5.00,9.00
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Line item,51.00,52.30,0.00,0.00,1.30,2.60,6.10
"Crushing, grinding, polishing, mixing, and blending workers",51-9020,Summary,193.90,184.60,0.10,0.10,-9.30,-4.80,21.10
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Line item,32.60,31.00,0.00,0.00,-1.60,-4.80,3.50
"Grinding and polishing workers, hand",51-9022,Line item,30.70,24.80,0.00,0.00,-5.90,-19.20,2.60
"Mixing and blending machine setters, operators, and tenders",51-9023,Line item,130.70,128.80,0.10,0.10,-1.90,-1.50,14.90
Cutting workers,51-9030,Summary,72.90,67.90,0.00,0.00,-5.00,-6.90,8.20
"Cutters and trimmers, hand",51-9031,Line item,10.70,7.70,0.00,0.00,-3.00,-28.40,0.80
"Cutting and slicing machine setters, operators, and tenders",51-9032,Line item,62.30,60.30,0.00,0.00,-2.00,-3.20,7.30
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,Line item,73.60,71.00,0.00,0.00,-2.50,-3.50,7.60
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,Line item,23.10,23.00,0.00,0.00,-0.10,-0.60,2.40
"Inspectors, testers, sorters, samplers, and weighers",51-9061,Line item,574.00,473.10,0.40,0.30,-100.90,-17.60,54.40
Jewelers and precious stone and metal workers,51-9071,Line item,38.10,35.20,0.00,0.00,-2.80,-7.50,4.40
"Medical, dental, and ophthalmic laboratory technicians",51-9080,Summary,81.50,90.60,0.10,0.10,9.10,11.20,11.50
Dental laboratory technicians,51-9081,Line item,36.50,40.50,0.00,0.00,3.90,10.70,5.10
Medical appliance technicians,51-9082,Line item,15.50,17.50,0.00,0.00,2.00,12.70,2.20
Ophthalmic laboratory technicians,51-9083,Line item,29.40,32.70,0.00,0.00,3.20,10.90,4.10
Packaging and filling machine operators and tenders,51-9111,Line item,394.90,400.00,0.20,0.20,5.00,1.30,46.70
Painting workers,51-9120,Summary,163.10,165.80,0.10,0.10,2.70,1.70,18.10
"Coating, painting, and spraying machine setters, operators, and tenders",51-9121,Line item,92.30,92.20,0.10,0.10,-0.10,-0.10,10.00
"Painters, transportation equipment",51-9122,Line item,58.10,60.80,0.00,0.00,2.70,4.60,6.70
"Painting, coating, and decorating workers",51-9123,Line item,12.60,12.70,0.00,0.00,0.10,0.90,1.40
Semiconductor processors,51-9141,Line item,27.20,25.10,0.00,0.00,-2.20,-8.00,2.80
Photographic process workers and processing machine operators,51-9151,Line item,17.10,13.40,0.00,0.00,-3.60,-21.30,2.00
Miscellaneous production workers,51-9190,Summary,823.50,849.20,0.50,0.50,25.70,3.10,110.90
Adhesive bonding machine operators and tenders,51-9191,Line item,16.50,16.10,0.00,0.00,-0.40,-2.60,2.10
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,Line item,17.80,17.90,0.00,0.00,0.10,0.60,2.80
Cooling and freezing equipment operators and tenders,51-9193,Line item,9.20,9.50,0.00,0.00,0.30,3.20,1.10
Etchers and engravers,51-9194,Line item,10.50,10.60,0.00,0.00,0.10,1.30,1.30
"Molders, shapers, and casters, except metal and plastic",51-9195,Line item,46.80,47.70,0.00,0.00,0.90,1.90,5.30
"Paper goods machine setters, operators, and tenders",51-9196,Line item,98.90,89.40,0.10,0.10,-9.50,-9.60,9.30
Tire builders,51-9197,Line item,24.40,22.20,0.00,0.00,-2.20,-9.20,2.20
Helpers--production workers,51-9198,Line item,354.60,385.80,0.20,0.20,31.20,8.80,57.70
"Production workers, all other",51-9199,Line item,244.70,249.90,0.20,0.10,5.30,2.20,29.10
Transportation and material moving occupations,53-0000,Summary,10841.00,11324.10,6.70,6.70,483.10,4.50,1435.60
Supervisors of transportation and material moving workers,53-1000,Summary,425.20,447.80,0.30,0.30,22.60,5.30,48.90
Aircraft cargo handling supervisors,53-1011,Line item,9.10,9.50,0.00,0.00,0.40,4.70,1.00
"First-Line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1048,Line item,416.20,438.30,0.30,0.30,22.20,5.30,47.80
Air transportation workers,53-2000,Summary,278.00,298.00,0.20,0.20,20.00,7.20,32.40
Aircraft pilots and flight engineers,53-2010,Summary,124.30,131.20,0.10,0.10,7.00,5.60,13.70
"Airline pilots, copilots, and flight engineers",53-2011,Line item,83.60,87.40,0.10,0.10,3.90,4.60,9.10
Commercial pilots,53-2012,Line item,40.70,43.80,0.00,0.00,3.10,7.70,4.60
Air traffic controllers and airfield operations specialists,53-2020,Summary,34.50,35.50,0.00,0.00,1.10,3.10,3.40
Air traffic controllers,53-2021,Line item,24.30,24.60,0.00,0.00,0.30,1.30,2.30
Airfield operations specialists,53-2022,Line item,10.20,10.90,0.00,0.00,0.70,7.40,1.10
Flight attendants,53-2031,Line item,119.30,131.20,0.10,0.10,11.90,10.00,15.30
Motor vehicle operators,53-3000,Summary,4536.00,4777.20,2.80,2.80,241.20,5.30,564.10
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,Line item,15.60,17.30,0.00,0.00,1.70,11.00,2.70
Bus drivers,53-3020,Summary,681.40,714.20,0.40,0.40,32.80,4.80,91.30
"Bus drivers, transit and intercity",53-3021,Line item,183.80,195.10,0.10,0.10,11.30,6.10,25.00
"Bus drivers, school or special client",53-3022,Line item,497.50,519.10,0.30,0.30,21.60,4.30,66.30
Driver/sales workers and truck drivers,53-3030,Summary,3407.90,3537.70,2.10,2.10,129.80,3.80,407.80
Driver/sales workers,53-3031,Line item,447.80,434.10,0.30,0.30,-13.70,-3.00,48.80
Heavy and tractor-trailer truck drivers,53-3032,Line item,1958.80,2058.50,1.20,1.20,99.70,5.10,238.40
Light truck or delivery services drivers,53-3033,Line item,1001.30,1045.10,0.60,0.60,43.80,4.40,120.70
Taxi drivers and chauffeurs,53-3041,Line item,370.40,442.80,0.20,0.30,72.40,19.50,51.30
"Motor vehicle operators, all other",53-3099,Line item,60.70,65.20,0.00,0.00,4.50,7.40,11.00
Rail transportation workers,53-4000,Summary,103.00,102.00,0.10,0.10,-1.00,-1.00,9.60
Locomotive engineers and operators,53-4010,Summary,38.20,37.30,0.00,0.00,-0.90,-2.40,3.40
Locomotive engineers,53-4011,Line item,32.20,31.60,0.00,0.00,-0.60,-1.80,2.90
Locomotive firers,53-4012,Line item,0.50,0.20,0.00,0.00,-0.40,-68.30,0.00
"Rail yard engineers, dinkey operators, and hostlers",53-4013,Line item,5.50,5.50,0.00,0.00,0.00,0.30,0.50
"Railroad brake, signal, and switch operators",53-4021,Line item,13.40,13.20,0.00,0.00,-0.10,-0.90,1.20
Railroad conductors and yardmasters,53-4031,Line item,39.50,39.00,0.00,0.00,-0.50,-1.20,3.70
Subway and streetcar operators,53-4041,Line item,9.20,9.70,0.00,0.00,0.50,5.60,1.00
"Rail transportation workers, all other",53-4099,Line item,2.70,2.70,0.00,0.00,0.00,0.10,0.30
Water transportation workers,53-5000,Summary,83.40,81.60,0.10,0.00,-1.80,-2.10,8.90
Sailors and marine oilers,53-5011,Line item,33.00,32.10,0.00,0.00,-0.90,-2.60,4.00
Ship and boat captains and operators,53-5020,Summary,41.40,40.80,0.00,0.00,-0.60,-1.40,3.80
"Captains, mates, and pilots of water vessels",53-5021,Line item,38.70,38.00,0.00,0.00,-0.70,-1.80,3.60
Motorboat operators,53-5022,Line item,2.70,2.80,0.00,0.00,0.10,3.30,0.30
Ship engineers,53-5031,Line item,9.00,8.70,0.00,0.00,-0.30,-3.50,1.10
Other transportation workers,53-6000,Summary,370.80,382.30,0.20,0.20,11.50,3.10,53.50
Bridge and lock tenders,53-6011,Line item,3.30,3.40,0.00,0.00,0.10,3.00,0.40
Parking lot attendants,53-6021,Line item,150.70,150.80,0.10,0.10,0.10,0.10,23.00
Automotive and watercraft service attendants,53-6031,Line item,115.00,120.60,0.10,0.10,5.70,4.90,18.00
Traffic technicians,53-6041,Line item,7.50,8.00,0.00,0.00,0.50,6.20,0.90
Transportation inspectors,53-6051,Line item,30.70,31.90,0.00,0.00,1.20,3.80,3.30
"Transportation attendants, except flight attendants",53-6061,Line item,25.60,26.90,0.00,0.00,1.30,5.00,3.60
"Transportation workers, all other",53-6099,Line item,38.10,40.70,0.00,0.00,2.70,7.00,4.40
Material moving workers,53-7000,Summary,5044.50,5235.20,3.10,3.10,190.60,3.80,718.20
Conveyor operators and tenders,53-7011,Line item,22.90,22.60,0.00,0.00,-0.30,-1.30,2.70
Crane and tower operators,53-7021,Line item,46.80,49.10,0.00,0.00,2.30,4.90,5.80
"Dredge, excavating, and loading machine operators",53-7030,Summary,53.70,57.40,0.00,0.00,3.70,6.90,6.90
Dredge operators,53-7031,Line item,1.30,1.40,0.00,0.00,0.10,6.20,0.20
Excavating and loading machine and dragline operators,53-7032,Line item,49.70,53.30,0.00,0.00,3.70,7.40,6.50
"Loading machine operators, underground mining",53-7033,Line item,2.70,2.70,0.00,0.00,-0.10,-2.00,0.30
Hoist and winch operators,53-7041,Line item,3.20,3.10,0.00,0.00,-0.10,-2.60,0.40
Industrial truck and tractor operators,53-7051,Line item,615.00,642.00,0.40,0.40,27.00,4.40,73.40
"Laborers and material movers, hand",53-7060,Summary,4101.90,4247.20,2.50,2.50,145.40,3.50,600.20
Cleaners of vehicles and equipment,53-7061,Line item,408.50,433.00,0.30,0.30,24.60,6.00,63.70
"Laborers and freight, stock, and material movers, hand",53-7062,Line item,2953.80,3097.90,1.80,1.80,144.00,4.90,434.70
Machine feeders and offbearers,53-7063,Line item,66.20,66.30,0.00,0.00,0.10,0.20,8.80
"Packers and packagers, hand",53-7064,Line item,673.40,650.00,0.40,0.40,-23.40,-3.50,93.00
Pumping station operators,53-7070,Summary,29.60,30.40,0.00,0.00,0.80,2.80,3.70
Gas compressor and gas pumping station operators,53-7071,Line item,3.60,3.50,0.00,0.00,-0.10,-4.10,0.40
"Pump operators, except wellhead pumpers",53-7072,Line item,11.60,12.70,0.00,0.00,1.00,8.80,1.60
Wellhead pumpers,53-7073,Line item,14.40,14.30,0.00,0.00,-0.10,-0.40,1.70
Refuse and recyclable material collectors,53-7081,Line item,133.00,143.90,0.10,0.10,10.90,8.20,20.20
Mine shuttle car operators,53-7111,Line item,1.70,1.30,0.00,0.00,-0.40,-25.30,0.10
"Tank car, truck, and ship loaders",53-7121,Line item,9.10,9.20,0.00,0.00,0.10,1.50,1.20
"Material moving workers, all other",53-7199,Line item,27.60,28.90,0.00,0.00,1.30,4.70,3.70
